file_name,folder,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,chroma_1,chroma_2,chroma_3,chroma_4,chroma_5,chroma_6,chroma_7,chroma_8,chroma_9,chroma_10,chroma_11,chroma_12,spectral_contrast_1,spectral_contrast_2,spectral_contrast_3,spectral_contrast_4,spectral_contrast_5,spectral_contrast_6,spectral_bandwidth,zero_crossing_rate
01.wav,Adele,-167.6742401123047,173.1220245361328,-21.55381202697754,24.702392578125,-7.489686965942383,16.07301902770996,3.525175094604492,0.5451958179473877,0.06356046348810196,-6.508054256439209,-3.8264548778533936,0.11296913027763367,-1.8548213243484497,0.24605830013751984,0.29692935943603516,0.2197110503911972,0.23826994001865387,0.2687961757183075,0.19906601309776306,0.2619079053401947,0.21835939586162567,0.3556099832057953,0.4126560091972351,0.279977023601532,0.2941645085811615,17.336552223418828,12.848242316662908,20.109563221986885,22.428528220117695,23.029416104503202,25.138085876137303,44.174110769107244,2140.567413083434
02.wav,Adele,-71.90393829345703,118.97069549560547,-20.057043075561523,51.9205322265625,-26.286516189575195,49.60615539550781,-23.282323837280273,15.172618865966797,-13.899459838867188,19.19927978515625,-9.19849967956543,5.989048957824707,-2.6235709190368652,0.31409958004951477,0.24578526616096497,0.31316280364990234,0.37922191619873047,0.35053205490112305,0.4697594940662384,0.3717705309391022,0.4109257459640503,0.3952018618583679,0.34128889441490173,0.46906113624572754,0.3622294068336487,16.598921939860137,10.715412596232547,16.986074536889387,18.317415904829275,19.180433148409303,18.749700070968892,51.69498266315898,4146.814303755568
03.wav,Adele,-153.0061492919922,145.3992156982422,7.816349506378174,48.99068069458008,-20.76908302307129,34.269874572753906,-13.503076553344727,16.253660202026367,0.502893328666687,2.5799529552459717,-2.592190980911255,0.7611382007598877,-1.2880769968032837,0.4565696120262146,0.31884464621543884,0.2670913338661194,0.23051808774471283,0.2819163203239441,0.463641881942749,0.35926440358161926,0.3723769187927246,0.3389340937137604,0.39706459641456604,0.4000118374824524,0.3618360161781311,21.308916572910388,12.240402674430106,18.52174879797506,20.94971914289734,21.588701380814125,24.29548566687449,47.66003023710912,3361.7780171961585
04.wav,Adele,-207.7105255126953,151.94813537597656,-4.858481407165527,35.48412322998047,-5.296843528747559,23.38262176513672,-5.555174350738525,4.2718186378479,7.6503143310546875,2.1914920806884766,3.8758351802825928,3.360839366912842,-4.769894123077393,0.3618096709251404,0.28049394488334656,0.2740525007247925,0.3256325125694275,0.27065038681030273,0.33270618319511414,0.28631848096847534,0.36214879155158997,0.47406482696533203,0.4295145571231842,0.5184124708175659,0.3826160132884979,17.59112670584747,12.481331786125434,15.887312391337073,20.465345364286133,21.33160358634299,24.268477179492454,44.109589605709154,2748.473930203951
05.wav,Adele,-264.8116149902344,189.48097229003906,2.3934946060180664,-1.866368293762207,15.147433280944824,15.842705726623535,-9.520171165466309,2.6832613945007324,-2.2936620712280273,-12.9456148147583,-7.453202724456787,-11.783530235290527,-7.8372087478637695,0.3595424294471741,0.6620655059814453,0.36102399230003357,0.19900920987129211,0.30399101972579956,0.6771095395088196,0.4352739751338959,0.2648933529853821,0.3687935471534729,0.318962037563324,0.28293487429618835,0.23011651635169983,21.049023468921398,11.14327856702739,17.950348101828187,19.488449778297607,20.192390450767054,27.34405225875227,33.738852328029125,1900.3206667970057
06.wav,Adele,-161.20945739746094,156.66485595703125,-11.586586952209473,30.556882858276367,-12.16229248046875,22.896013259887695,-10.534148216247559,9.487247467041016,-2.42818021774292,3.0473103523254395,-3.901278018951416,-0.27748939394950867,-4.726296901702881,0.44109588861465454,0.3807767629623413,0.3831231892108917,0.3241511583328247,0.26730599999427795,0.3265934884548187,0.3088599145412445,0.3727661967277527,0.3164830207824707,0.36105936765670776,0.388649582862854,0.34587615728378296,20.987732705282564,12.519818232090978,18.41931026860581,20.790354827031848,20.793241874118717,23.749719506993188,45.09497545536582,2831.7658260618955
07.wav,Adele,-245.90765380859375,144.92172241210938,29.363954544067383,39.10427474975586,11.23202896118164,24.522533416748047,1.2959625720977783,6.154068946838379,2.2998266220092773,-0.3601476848125458,5.4050750732421875,3.0552978515625,-1.2255747318267822,0.45814499258995056,0.45592162013053894,0.6008620858192444,0.592018723487854,0.3937390446662903,0.30398502945899963,0.34752216935157776,0.5002062320709229,0.47919443249702454,0.4696490466594696,0.43295353651046753,0.41514766216278076,16.63879703349334,13.551562064005564,18.801560898467905,20.82317875734863,19.478106065508584,19.437461848530717,39.456092909102324,2426.655691107087
08.wav,Adele,-180.44354248046875,177.04592895507812,-12.376237869262695,36.75519943237305,-14.935934066772461,28.768251419067383,-12.423327445983887,-1.299826979637146,6.489759922027588,-9.905156135559082,3.7167601585388184,4.8481597900390625,-9.570013046264648,0.36287519335746765,0.2710781693458557,0.2992991805076599,0.3334653079509735,0.42607665061950684,0.3755183219909668,0.2635156810283661,0.34403279423713684,0.3196104168891907,0.38448238372802734,0.3571847975254059,0.3726867735385895,20.969626211102693,12.282534381245524,17.487803530305623,19.491122855191442,19.918544719634657,24.05904173253191,45.910319680443045,2549.7018131699338
09.wav,Adele,-186.45077514648438,150.60560607910156,-11.703900337219238,41.479881286621094,6.910369396209717,25.834949493408203,-0.7034931182861328,5.84074592590332,3.939397096633911,4.92062520980835,-2.28985333442688,0.10828732699155807,-8.537985801696777,0.34807050228118896,0.30472660064697266,0.2378772646188736,0.27726808190345764,0.3104245066642761,0.2633102834224701,0.3086508512496948,0.3479284942150116,0.5392186641693115,0.5636846423149109,0.4028890132904053,0.33281975984573364,24.211961415987794,12.902122586037015,20.307167745322555,22.759805974805417,22.436358081387713,24.370528873971544,45.05940147211271,2553.569469411714
10.wav,Adele,-70.50665283203125,117.59996795654297,-19.45854377746582,50.21181869506836,-23.602886199951172,39.896141052246094,-14.63956069946289,19.196266174316406,-10.342411041259766,18.208091735839844,-0.2046549916267395,7.1140666007995605,-1.9556254148483276,0.3799878656864166,0.41104111075401306,0.409629762172699,0.4488256573677063,0.4132663607597351,0.36827901005744934,0.2708871066570282,0.29711341857910156,0.4242513179779053,0.3867758810520172,0.43835505843162537,0.3448348343372345,15.533058589353926,12.394285811001394,17.31426993105647,19.06732120272419,18.38101865056606,17.343238449410997,45.047319505736745,4039.6080917144604
